Word,Frequency,Part-of-speech,Percentage So Far
 أَرَآئِك,5,Noun,90.48190821
 أَسَاوِر,5,Noun,90.48865384
 أَسْبَاط,5,Noun,90.49539948
 أَصْنَام,5,Noun,90.50214511
 ٱللَّهُمَّ,5,Proper noun,90.50889075
 ٱمْرِئ,5,Noun,90.51563638
 أَمْن,5,Noun,90.52238202
 إِن,5,Particle of certainty,90.52912765
 أَوَّاب,5,Noun,90.53587329
 أَيَّان,5,Interogative particle,90.54261893
 بَرْق,5,Noun,90.54936456
 بِضَٰعَة,5,Noun,90.5561102
 بَعِيد,5,Noun,90.56285583
 بَغْضَآء,5,Noun,90.56960147
 بَلْدَة,5,Noun,90.5763471
 تَحْرِير,5,Noun,90.58309274
 تِسْع,5,Noun,90.58983837
 تَفْصِيل,5,Noun,90.59658401
 تَقْدِير,5,Noun,90.60332965
 تَقَلُّب,5,Noun,90.61007528
 ثُّلُث,5,Noun,90.61682092
 ثَمَر,5,Noun,90.62356655
 جَٰثِمِين,5,Noun,90.63031219
 جَبَّار,5,Adjective,90.63705782
 جَبَّار,5,Noun,90.64380346
 جَرَم,5,Noun,90.65054909
 جَهْد,5,Noun,90.65729473
 حَٰكِمِين,5,Noun,90.66404037
 حَبَّة,5,Noun,90.670786
 حَرِيق,5,Noun,90.67753164
 حَفِيظ,5,Adjective,90.68427727
 حَقّ,5,Adjective,90.69102291
 حِلّ,5,Noun,90.69776854
 حِمَار,5,Noun,90.70451418
 حَوَارِيُّون,5,Noun,90.71125981
 حُوت,5,Noun,90.71800545
 خَٰطِـِٔين,5,Noun,90.72475109
 خَالِصَة,5,Noun,90.73149672
 خُرُوج,5,Noun,90.73824236
 خَصِيم,5,Noun,90.74498799
 خَطْب,5,Noun,90.75173363
 خُطُوَٰت,5,Noun,90.75847926
 خَلْف,5,Location adverb,90.7652249
 خِنزِير,5,Noun,90.77197054
 خَيْل,5,Noun,90.77871617
 دَيْن,5,Noun,90.78546181
 ذَا,5,Demonstrative pronoun,90.79220744
 رَشَد,5,Noun,90.79895308
 رُعْب,5,Noun,90.80569871
 رَقِيب,5,Noun,90.81244435
 زَّيْتُون,5,Noun,90.81918998
 سَاجِد,5,Adjective,90.82593562
 سَلَم,5,Noun,90.83268126
 سَوْءَٰت,5,Noun,90.83942689
 شَّٰرِبِين,5,Noun,90.84617253
 شَاعِر,5,Noun,90.85291816
 شِرْك,5,Noun,90.8596638
 شَطْر,5,Location adverb,90.86640943
 صَٰغِرُون,5,Noun,90.87315507
 صَٰلِح,5,Adjective,90.8799007
 صَدَقَة,5,Noun,90.88664634
 صِدِّيق,5,Noun,90.89339198
 صَيْد,5,Noun,90.90013761
 ضَيْف,5,Noun,90.90688325
 طَٰٓئِر,5,Noun,90.91362888
 طَرَف,5,Noun,90.92037452
 طَرِيقَة,5,Noun,90.92712015
 ظَلَّٰم,5,Noun,90.93386579
 عَدَد,5,Noun,90.94061142
 عَزْم,5,Noun,90.94735706
 عُسْر,5,Noun,90.9541027
 عَشْر,5,Noun,90.96084833
 عَطَآء,5,Noun,90.96759397
 عَفُوّ,5,Noun,90.9743396
 عَلَقَة,5,Noun,90.98108524
 غَد,5,Noun,90.98783087
 غُدُوّ,5,Noun,90.99457651
 غُرْفَة,5,Noun,91.00132214
 غَفْلَة,5,Noun,91.00806778
 فَوْج,5,Noun,91.01481342
 قَآئِل,5,Noun,91.02155905
 قَارِعَة,5,Noun,91.02830469
 قَيِّم,5,Adjective,91.03505032
 كَآفَّة,5,Noun,91.04179596
 كَاتِب,5,Noun,91.04854159
 كَرْه,5,Noun,91.05528723
 كَلْب,5,Noun,91.06203286
 كَوْكَب,5,Noun,91.0687785
 لَوْح,5,Noun,91.07552414
 مُبْطِلُون,5,Noun,91.08226977
 مُتْرَفِين,5,Noun,91.08901541
 مُتَشَٰبِه,5,Noun,91.09576104
 مَّحِيص,5,Noun,91.10250668
 مُخْرَج,5,Noun,91.10925231
 مَرْضَات,5,Noun,91.11599795
 مِرْيَة,5,Noun,91.12274358
 مُّسَمًّى,5,Adjective,91.12948922
 مَسْـُٔول,5,Noun,91.13623486
 مُصْبِحِين,5,Noun,91.14298049
 مُصْلِح,5,Noun,91.14972613
 مُّطَهَّرَة,5,Adjective,91.15647176
 مَع,5,Preposition,91.1632174
 مَّعْدُودَة,5,Adjective,91.16996303
 مَكَانَت,5,Noun,91.17670867
 مَلُوم,5,Noun,91.18345431
 مُنَٰفِقَٰت,5,Noun,91.19019994
 مُنذَرِين,5,Noun,91.19694558
 مُنزِلِين,5,Noun,91.20369121
 مُّنِير,5,Noun,91.21043685
 مَهْد,5,Noun,91.21718248
 مُهْلِك,5,Noun,91.22392812
 مُّوقِنِين,5,Noun,91.23067375
 مَيْتَة,5,Noun,91.23741939
 نَٰدِمِين,5,Noun,91.24416503
 نَٰظِرِين,5,Noun,91.25091066
 نُّبُوَّة,5,Noun,91.2576563
 نُشُور,5,Noun,91.26440193
 نُفُور,5,Noun,91.27114757
 نِكَاح,5,Noun,91.2778932
 وَازِرَة,5,Noun,91.28463884
 وَاقِع,5,Noun,91.29138447
 وُسْع,5,Noun,91.29813011
 يَحْيَىٰ,5,Proper noun,91.30487575
 يَسِير,5,Noun,91.31162138
آثَرَ,5,Verb,91.31836702
يُؤَدِّ,5,Verb,91.32511265
أَلَّفَ,5,Verb,91.33185829
ءَانَسَ,5,Verb,91.33860392
أَوَى,5,Verb,91.34534956
بَثَّ,5,Verb,91.35209519
يَبْخَسْ,5,Verb,91.35884083
تَبَرَّأَ,5,Verb,91.36558647
بَرَزَ,5,Verb,91.3723321
بَطَشْ,5,Verb,91.37907774
بَكَتْ,5,Verb,91.38582337
أَبْلَغُ,5,Verb,91.39256901
أَثَارُ,5,Verb,91.39931464
أَجْرَمُ,5,Verb,91.40606028
جَهَرَ,5,Verb,91.41280591
يَجْهَلُ,5,Verb,91.41955155
أَحْصَنَتْ,5,Verb,91.42629719
حُمِّلَ,5,Verb,91.43304282
خَتَمَ,5,Verb,91.43978846
خَلَفَ,5,Verb,91.44653409
ٱسْتَخْلَفَ,5,Verb,91.45327973
خَانُ,5,Verb,91.46002536
دَرَسُ,5,Verb,91.466771
دَفَعْ,5,Verb,91.47351663
ذُبِحَ,5,Verb,91.48026227
رَجَمْ,5,Verb,91.48700791
أَرْضَعَتْ,5,Verb,91.49375354
يَرْكَعُ,5,Verb,91.50049918
يَرْهَقُ,5,Verb,91.50724481
زُوِّجَتْ,5,Verb,91.51399045
ٱسْتَبَقَ,5,Verb,91.52073608
أَسْكَن,5,Verb,91.52748172
سَلَفَ,5,Verb,91.53422735
أَسَآءَ,5,Verb,91.54097299
سُيِّرَتْ,5,Verb,91.54771863
شَرَحَ,5,Verb,91.55446426
يَشْفَعُ,5,Verb,91.5612099
ٱنشَقَّ,5,Verb,91.56795553
طَعِمُ,5,Verb,91.57470117
طُمِسَتْ,5,Verb,91.5814468
تَطَهَّرْ,5,Verb,91.58819244
عَتَ,5,Verb,91.59493808
تَعْثَ,5,Verb,91.60168371
عَجِلَ,5,Verb,91.60842935
عَجَّلَ,5,Verb,91.61517498
يَعْتَذِرُ,5,Verb,91.62192062
يَعْرُجُ,5,Verb,91.62866625
ٱعْتَصَمُ,5,Verb,91.63541189
عَقَرَ,5,Verb,91.64215752
يُعَمَّرُ,5,Verb,91.64890316
غَلَّ,5,Verb,91.6556488
يُفْتِي,5,Verb,91.66239443
فَرَّط,5,Verb,91.66914007
فَرَقْ,5,Verb,91.6758857
فَصَلَ,5,Verb,91.68263134
قَبَضْ,5,Verb,91.68937697
قَرَّبَ,5,Verb,91.69612261
ٱقْتَرَبَ,5,Verb,91.70286824
تَقَرَّ,5,Verb,91.70961388
تَّقَطَّعَ,5,Verb,91.71635952
أُكْرِهَ,5,Verb,91.72310515
 ٱكْتَسَبَ,5,Verb,91.72985079
 يَمْتَرُ,5,Verb,91.73659642
 نَصَحُ,5,Verb,91.74334206
 ٱهْجُرْ,5,Verb,91.75008769
 هَلَكَ,5,Verb,91.75683333
 أَوْصَٰ,5,Verb,91.76357896
 تَوَاصَ,5,Verb,91.7703246
 أَوْقَدُ,5,Verb,91.77707024
 وَهَنَ,5,Verb,91.78381587
 أَحْبَار,4,Noun,91.78921238
 أَخْسَرِين,4,Noun,91.79460889
 أَرْحَم,4,Noun,91.8000054
 أَرْذَل,4,Noun,91.8054019
 أَزْكَىٰ,4,Noun,91.81079841
 إِسْتَبْرَق,4,Noun,91.81619492
 أَسْلِحَت,4,Noun,91.82159143
 أَسِير,4,Noun,91.82698794
 أَصِيل,4,Time adverb,91.83238445
 أَطْهَر,4,Noun,91.83778096
 أَقْوَم,4,Noun,91.84317746
 أَكْل,4,Noun,91.84857397
 أَكِنَّة,4,Noun,91.85397048
 أَكْوَاب,4,Noun,91.85936699
 ٱلَّٰٓـِٔى,4,Relative pronoun,91.8647635
 أَمَٰنَٰت,4,Noun,91.87016001
 أَمَد,4,Noun,91.87555651
 أَمْس,4,Noun,91.88095302
 أُمِّىّ,4,Noun,91.88634953
 ٱنتِقَام,4,Noun,91.89174604
 أَيْكَة,4,Noun,91.89714255
 أَيْن,4,Location adverb,91.90253906
 أَيُّوب,4,Proper noun,91.90793557
 بَأْسَآء,4,Noun,91.91333207
 بَٰسِط,4,Noun,91.91872858
 بَال,4,Noun,91.92412509
 بُرُوج,4,Noun,91.9295216
 بَعْث,4,Noun,91.93491811
 بَقَرَة,4,Noun,91.94031462
 بَل,4,Inceptive particle,91.94571112
 تَقِيّ,4,Noun,91.95110763
 ثُبُور,4,Noun,91.95650414
 ثَقِيل,4,Adjective,91.96190065
 ثَمّ,4,Location adverb,91.96729716
 جِهَاد,4,Noun,91.97269367
 جَهَٰلَة,4,Noun,91.97809018
 جَوَاب,4,Noun,91.98348668
 جُوع,4,Noun,91.98888319
 حَاصِب,4,Noun,91.9942797
 حِجْر,4,Noun,91.99967621
 حَرْب,4,Noun,92.00507272
 حَصِيد,4,Noun,92.01046923
 حَلِيم,4,Noun,92.01586573
 حِلْيَة,4,Noun,92.02126224
 حُور,4,Noun,92.02665875
 حِين,4,Time adverb,92.03205526
 خَاوِيَة,4,Noun,92.03745177
 خَبِيثَة,4,Noun,92.04284828
 خَزَنَت,4,Noun,92.04824479
 خُضْر,4,Noun,92.05364129
 خَلِيل,4,Noun,92.0590378
 دَأْب,4,Noun,92.06443431
 دَابِر,4,Noun,92.06983082
 دَٰخِرُون,4,Noun,92.07522733
 دَاعِى,4,Noun,92.08062384
 دَعْوَىٰ,4,Noun,92.08602034
 ذُرِّيَّٰت,4,Noun,92.09141685
 رَٰجِعُون,4,Noun,92.09681336
 رَّجْفَة,4,Noun,92.10220987
 رَجِيم,4,Adjective,92.10760638
 رَّحِيم,4,Noun,92.11300289
 رِسَالَة,4,Noun,92.1183994
 زُخْرُف,4,Noun,92.1237959
 زُلْفَىٰٓ,4,Noun,92.12919241
 زُّور,4,Noun,92.13458892
 سَاق,4,Noun,92.13998543
 سَبْعَة,4,Noun,92.14538194
 سُّجُود,4,Noun,92.15077845
 سَدّ,4,Noun,92.15617495
 سِرَاج,4,Noun,92.16157146
 سَفِينَة,4,Noun,92.16696797
 سَقَر,4,Proper noun,92.17236448
 سَقْف,4,Noun,92.17776099
 سَمَّٰعُون,4,Noun,92.1831575
 سُّوق,4,Noun,92.18855401
 شَأْن,4,Noun,92.19395051
 شَعَٰٓئِر,4,Noun,92.19934702
 شِفَآء,4,Noun,92.20474353
 شِهَاب,4,Noun,92.21014004
 صَٰحِبَة,4,Noun,92.21553655
 صَبَّار,4,Adjective,92.22093306
 صُبْح,4,Noun,92.22632956
 صَرْح,4,Noun,92.23172607
 صَعِيد,4,Noun,92.23712258
 صَلْصَٰل,4,Noun,92.24251909
 ضُحًى,4,Noun,92.2479156
 ضِعْف,4,Adjective,92.25331211
 ضَعْف,4,Noun,92.25870862
 طَآئِف,4,Noun,92.26410512
 طَٰغِين,4,Noun,92.26950163
 طَرِيق,4,Noun,92.27489814
 طِفْل,4,Noun,92.28029465
 طَلْع,4,Noun,92.28569116
 طَمَع,4,Noun,92.29108767
 طَوْع,4,Noun,92.29648417
 ظَالِمَة,4,Noun,92.30188068
 ظَهِير,4,Noun,92.30727719
 عَالِي,4,Noun,92.3126737
 عَجُوز,4,Noun,92.31807021
 عَرْض,4,Noun,92.32346672
 عَشَر,4,Noun,92.32886323
 عُصْبَة,4,Noun,92.33425973
 عُقْدَة,4,Noun,92.33965624
 عَلَانِيَة,4,Noun,92.34505275
 عُلُوّ,4,Noun,92.35044926
 عَوْرَة,4,Noun,92.35584577
 غَمَٰم,4,Noun,92.36124228
 غَنِىّ,4,Adjective,92.36663878
 غَيّ,4,Noun,92.37203529
 غُيُوب,4,Noun,92.3774318
 فَآئِزُون,4,Noun,92.38282831
 فَخُور,4,Adjective,92.38822482
 فِرَار,4,Noun,92.39362133
 فُسُوق,4,Noun,92.39901784
 قَآئِمَة,4,Noun,92.40441434
 قَٰرُون,4,Proper noun,92.40981085
 قُدُس,4,Noun,92.41520736
 قِصَاص,4,Noun,92.42060387
 قَصْر,4,Noun,92.42600038
 قُعُود,4,Noun,92.43139689
 قَلَم,4,Noun,92.43679339
 قِيل,4,Noun,92.4421899
 كَرْب,4,Noun,92.44758641
 كِسَف,4,Noun,92.45298292
 كَفَّار,4,Adjective,92.45837943
 كَفَّٰرَة,4,Noun,92.46377594
 كِفْل,4,Noun,92.46917245
 كَلَٰم,4,Noun,92.47456895
 كَلِم,4,Noun,92.47996546
 لَطِيف,4,Adjective,92.48536197
 مُبْصِر,4,Noun,92.49075848
 مُبْلِسُون,4,Noun,92.49615499
 مُّتَقَٰبِلِين,4,Noun,92.5015515
 مُتَوَكِّلُون,4,Noun,92.506948
 مُجَٰهِدِين,4,Noun,92.51234451
 مَّجِيد,4,Adjective,92.51774102
 مِحْرَاب,4,Noun,92.52313753
 مُحَرَّم,4,Noun,92.52853404
 مَحْرُوم,4,Noun,92.53393055
 مُحَمَّد,4,Proper noun,92.53932706
 مُخَلَّفُون,4,Noun,92.54472356
 مَدِينَة,4,Proper noun,92.55012007
 مُرْسِل,4,Noun,92.55551658
 مَرْء,4,Noun,92.56091309
 مُّسْتَضْعَفُون,4,Noun,92.5663096
 مَّسْحُور,4,Noun,92.57170611
 مِصْبَاح,4,Noun,92.57710261
 مُصَدِّق,4,Adjective,92.58249912
 مِصْر,4,Proper noun,92.58789563
 مُعَذِّب,4,Noun,92.59329214
 مُعَذَّبِين,4,Noun,92.59868865
 مَّعْرُوف,4,Adjective,92.60408516
 مَغَانِم,4,Noun,92.60948167
 مُّغْرَقُون,4,Noun,92.61487817
 مُّقْتَدِر,4,Noun,92.62027468
 مَقْعَد,4,Noun,92.62567119
 مُّكْرَمُون,4,Noun,92.6310677
 مُّلَٰقُوا,4,Noun,92.63646421
 مَلَكُوت,4,Noun,92.64186072
 مُمْتَرِين,4,Noun,92.64725722
 مَمْنُون,4,Noun,92.65265373
 مَنَام,4,Noun,92.65805024
 مُّنتَصِر,4,Noun,92.66344675
 مَنسَك,4,Noun,92.66884326
 مُّؤْمِنَٰت,4,Adjective,92.67423977
 مُّؤْمِنَة,4,Adjective,92.67963628
 مَّيِّت,4,Adjective,92.68503278
 مَّيْت,4,Adjective,92.69042929
 نَصَب,4,Noun,92.6958258
 نَعْجَة,4,Noun,92.70122231
 نَعَم,4,Answer particle,92.70661882
 نَكِير,4,Noun,92.71201533
 هُنَا,4,Demonstrative pronoun,92.71741183
 وَبَال,4,Noun,92.72280834
 وَقُود,4,Noun,92.72820485
 يُونُس,4,Proper noun,92.73360136
 ءَامِن,4,Noun,92.73899787
 تَأْسَ,4,Verb,92.74439438
 يُبْطِلَ,4,Verb,92.74979089
 يَتَبَوَّأُ,4,Verb,92.75518739
 بَيَّتَ,4,Verb,92.7605839
 تَمَّ,4,Verb,92.76598041
 ثَقُلَتْ,4,Verb,92.77137692
 أَجْمَعُ,4,Verb,92.77677343
 جَاوَزَ,4,Verb,92.78216994
 ٱسْتَحَبُّ,4,Verb,92.78756644
 أَحْبَطَ,4,Verb,92.79296295
 يُحَرِّفُ,4,Verb,92.79835946
 يُحَافِظُ,4,Verb,92.80375597
 يُحِقَّ,4,Verb,92.80915248
 حُلُّ,4,Verb,92.81454899
 حَيَّ,4,Verb,92.8199455
 ٱسْتَخْرَجَ,4,Verb,92.825342
 يَخْرُصُ,4,Verb,92.83073851
 خَرَقَ,4,Verb,92.83613502
 يُخَوِّفُ,4,Verb,92.84153153
 خَابَ,4,Verb,92.84692804
 ٱخْتَارَ,4,Verb,92.85232455
 يُدَبِّرُ,4,Verb,92.85772105
 أَدْبَرَ,4,Verb,92.86311756
 يَتَدَبَّرُ,4,Verb,92.86851407
 يَدْرَؤُا۟,4,Verb,92.87391058
 رَبَتْ,4,Verb,92.87930709
 يَرْغَبُ,4,Verb,92.8847036
 ٱرْتَقِبْ,4,Verb,92.89010011
 أُزْلِفَتْ,4,Verb,92.89549661
 سَرَقَ,4,Verb,92.90089312
 سَوَّلَ,4,Verb,92.90628963
 يَسُومُ,4,Verb,92.91168614
 تَشَٰبَهَ,4,Verb,92.91708265
 شَرَ,4,Verb,92.92247916
 شَقُ,4,Verb,92.92787566
 صَبَّ,4,Verb,92.93327217
 صَدَفَ,4,Verb,92.93866868
 أَصَرُّ,4,Verb,92.94406519
 يُصَلَّبُ,4,Verb,92.9494617
 أُصْلِي,4,Verb,92.95485821
 صَوَّرَ,4,Verb,92.96025472
 يَسْتَعْتِبُ,4,Verb,92.96565122
 يُعْجِزَ,4,Verb,92.97104773
 عَزَمَ,4,Verb,92.97644424
 عَمَرُ,4,Verb,92.98184075
 ٱسْتَعِذْ,4,Verb,92.98723726
 ٱسْتَعِينُ,4,Verb,92.99263377
 أُغْشِيَتْ,4,Verb,92.99803027
 يَغُضُّ,4,Verb,93.00342678
 ٱسْتَغْنَىٰ,4,Verb,93.00882329
 ٱسْتَغَٰثَ,4,Verb,93.0142198
 يُغَيِّرُ,4,Verb,93.01961631
 فَشِلْ,4,Verb,93.02501282
 قُتِّلُ,4,Verb,93.03040933
 ٱقْتَتَلَ,4,Verb,93.03580583
 قُدَّ,4,Verb,93.04120234
 يَسْتَقْدِمُ,4,Verb,93.04659885
 أَقْرَرْ,4,Verb,93.05199536
 ٱقْتَرَفْ,4,Verb,93.05739187
 قَفَّيْ,4,Verb,93.06278838
 قَنَطُ,4,Verb,93.06818488
 كَبِّرْ,4,Verb,93.07358139
 أَكْرَمَ,4,Verb,93.0789779
 يَتَكَلَّمُ,4,Verb,93.08437441
 أَلْحَقْ,4,Verb,93.08977092
 تَلَقَّىٰٓ,4,Verb,93.09516743
 لَمَسُ,4,Verb,93.10056394
 أَلْهَىٰ,4,Verb,93.10596044
 تَمَارَ,4,Verb,93.11135695
 مَضَىٰ,4,Verb,93.11675346
 مَكَثَ,4,Verb,93.12214997
 أَنۢبَأَ,4,Verb,93.12754648
 تَنَٰجَيْ,4,Verb,93.13294299
 يَنْحِتُ,4,Verb,93.13833949
 نَذَرْ,4,Verb,93.143736
 نَّزَغَ,4,Verb,93.14913251
 نَفِدَ,4,Verb,93.15452902
 أَنقَذَ,4,Verb,93.15992553
 نَقَمُ,4,Verb,93.16532204
 هَاتُ,4,Verb,93.17071855
 ٱهْتَزَّتْ,4,Verb,93.17611505
 أُهِلَّ,4,Verb,93.18151156
 وُۥرِىَ,4,Verb,93.18690807
 وَسْوَسَ,4,Verb,93.19230458
 وَٰعَدْ,4,Verb,93.19770109
 آثِم,3,Noun,93.20174847
 آخِذ,3,Noun,93.20579585
 أَبْيَض,3,Adjective,93.20984323
 أُجَاج,3,Noun,93.21389061
 أَجْدَاث,3,Noun,93.21793799
 أَخْبَار,3,Noun,93.22198538
 إِذَا,3,Surprise particle,93.22603276
 أَذْقَان,3,Noun,93.23008014
 أَسْفَل,3,Noun,93.23412752
 أُسْوَة,3,Noun,93.2381749
 أَشَدّ,3,Adjective,93.24222228
 أَشْقَى,3,Noun,93.24626966
 إِصْر,3,Noun,93.25031704
 أَصْل,3,Noun,93.25436443
 أَصِيل,3,Noun,93.25841181
 إِطْعَٰم,3,Noun,93.26245919
 أَعَزّ,3,Noun,93.26650657
 أَعْلَىٰ,3,Adjective,93.27055395
 أَعْمَىٰ,3,Adjective,93.27460133
 أُفّ,3,Noun,93.27864871
 أُفُق,3,Noun,93.2826961
 إِلَّا,3,Particle of certainty,93.28674348
 إِلْيَاس,3,Proper noun,93.29079086
 أَوْتَاد,3,Noun,93.29483824
 أَوْثَٰن,3,Noun,93.29888562
 إِيتَاءٌ,3,Noun,93.302933
 أَيْمَن,3,Adjective,93.30698038
 أَيْن,3,Conditional particle,93.31102777
 بَاطِن,3,Noun,93.31507515
 بَاغ,3,Noun,93.31912253
 بَرْزَخ,3,Noun,93.32316991
 بَرَكَٰت,3,Noun,93.32721729
 بُشْر,3,Noun,93.33126467
 بَطْش,3,Noun,93.33531205
 بَقَر,3,Noun,93.33935943
 بَقِيَّت,3,Noun,93.34340682
 بَهِيمَة,3,Noun,93.3474542
 بَيَان,3,Noun,93.35150158
 تَابِع,3,Noun,93.35554896
 تَارِك,3,Noun,93.35959634
 تَحْت,3,Location adverb,93.36364372
 تَحْوِيل,3,Noun,93.3676911
 تَسْلِيم,3,Noun,93.37173849
 تَضَرُّع,3,Noun,93.37578587
 ثُلَّة,3,Noun,93.37983325
 ثَمَٰنِيَة,3,Noun,93.38388063
 جَار,3,Noun,93.38792801
 جَالُوت,3,Proper noun,93.39197539
 جَامِع,3,Noun,93.39602277
 جَٰهِلِيَّة,3,Proper noun,93.40007015
 جِبْرِيل,3,Proper noun,93.40411754
 جِذْع,3,Noun,93.40816492
 جُزْء,3,Noun,93.4122123
 جَسَد,3,Noun,93.41625968
 جُنُب,3,Noun,93.42030706
 جَهْرَة,3,Noun,93.42435444
 جَيْب,3,Noun,93.42840182
 حَآقَّة,3,Noun,93.43244921
 حَاجَة,3,Noun,93.43649659
 حَٰشِرِين,3,Noun,93.44054397
 حَدَآئِق,3,Noun,93.44459135
 حِذْر,3,Noun,93.44863873
 حَرّ,3,Noun,93.45268611
 حَرِير,3,Noun,93.45673349
 حَزَن,3,Noun,93.46078087
 حُسْبَان,3,Noun,93.46482826
 حَسَنَٰت,3,Noun,93.46887564
 حَسَنَة,3,Adjective,93.47292302
 حَسِيب,3,Noun,93.4769704
 حُطَٰم,3,Noun,93.48101778
 حِفْظ,3,Noun,93.48506516
 حَكَم,3,Noun,93.48911254
 حَمَإ,3,Noun,93.49315993
 حِمْل,3,Noun,93.49720731
 حَوْل,3,Location adverb,93.50125469
 خَآئِف,3,Noun,93.50530207
 خَآئِنِين,3,Noun,93.50934945
 خَارِج,3,Noun,93.51339683
 خَٰلَٰت,3,Noun,93.51744421
 خَسَار,3,Noun,93.52149159
 خُسْرَان,3,Noun,93.52553898
 خَصْم,3,Noun,93.52958636
 خِطَاب,3,Noun,93.53363374
 خَمْسَة,3,Noun,93.53768112
 دَآئِرَة,3,Noun,93.5417285
 دَّاع,3,Noun,93.54577588
 دَكّ,3,Noun,93.54982326
 ذَآئِقَة,3,Noun,93.55387065
 ذَرْع,3,Noun,93.55791803
 ذُّلّ,3,Noun,93.56196541
 ذِّئْب,3,Noun,93.56601279
 رَآدّ,3,Noun,93.57006017
 رَاغِب,3,Noun,93.57410755
 رَبَّٰنِيِّن,3,Noun,93.57815493
 رَجْع,3,Noun,93.58220232
 رَحْل,3,Noun,93.5862497
 رُّمَّان,3,Noun,93.59029708
 رُهْبَٰن,3,Noun,93.59434446
 رَهْط,3,Noun,93.59839184
 رَّوْح,3,Noun,93.60243922
 رِئَآء,3,Noun,93.6064866
 زَان,3,Noun,93.61053398
 زَانِيَة,3,Noun,93.61458137
 زَبَد,3,Noun,93.61862875
 زَبُور,3,Proper noun,93.62267613
 زَفِير,3,Noun,93.62672351
 زَقُّوم,3,Proper noun,93.63077089
 سَّارِق,3,Noun,93.63481827
 سَافِل,3,Noun,93.63886565
 سَّامِرِىّ,3,Proper noun,93.64291304
 سِجِّيل,3,Noun,93.64696042
 سُّحْت,3,Noun,93.6510078
 سَحَر,3,Noun,93.65505518
 سُّدُس,3,Noun,93.65910256
 سَرَٰبِيل,3,Noun,93.66314994
 سُكَٰرَىٰ,3,Noun,93.66719732
 سَكَن,3,Noun,93.6712447
 سِلْسِلَة,3,Noun,93.67529209
 سَّلْوَىٰ,3,Noun,93.67933947
 سَمُوم,3,Noun,93.68338685
 سَمِين,3,Adjective,93.68743423
 سُندُس,3,Noun,93.69148161
 سَوِيّ,3,Adjective,93.69552899
 سَيَّارَة,3,Noun,93.69957637
 سَيِّد,3,Noun,93.70362376
 سَيِّئ,3,Adjective,93.70767114
 شُحّ,3,Noun,93.71171852
 شِرْب,3,Noun,93.7157659
 شَهَٰدَٰت,3,Noun,93.71981328
 شَّهَوَٰت,3,Noun,93.72386066
 شَيْخ,3,Adjective,93.72790804
 صَٰٓفَّٰت,3,Noun,93.73195542
 صَّٰبِـِٔين,3,Proper noun,93.73600281
 صَرْصَر,3,Adjective,93.74005019
 صَغِير,3,Noun,93.74409757
 صُورَة,3,Noun,93.74814495
 ضَآلّ,3,Adjective,93.75219233
 ضَرْب,3,Noun,93.75623971
 ضِغْث,3,Noun,93.76028709
 ضِيَآء,3,Noun,93.76433448
 طَاعَة,3,Noun,93.76838186
 طَوْل,3,Noun,93.77242924
 عَاجِلَةٌ,3,Noun,93.77647662
 عَاصِم,3,Noun,93.780524
 عَاقِر,3,Noun,93.78457138
 عَجَب,3,Adjective,93.78861876
 عَشْرَة,3,Noun,93.79266615
 عَشِيرَت,3,Noun,93.79671353
 عَقِيم,3,Adjective,93.80076091
 عَلِيّ,3,Adjective,93.80480829
 عَمَّٰت,3,Noun,93.80885567
 عَمَد,3,Noun,93.81290305
 عِمْرَٰن,3,Proper noun,93.81695043
 عَنِيد,3,Adjective,93.82099781
 عِير,3,Noun,93.8250452
 عِين,3,Noun,93.82909258
 غَآئِبِين,3,Noun,93.83313996
 غَٰشِيَة,3,Noun,93.83718734
 غَرُور,3,Noun,93.84123472
 غَفَّار,3,Adjective,93.8452821
 غَمْرَة,3,Noun,93.84932948
 غَنَم,3,Noun,93.85337687
 غَيْث,3,Noun,93.85742425
 غَيْر,3,Adjective,93.86147163
 فَٰكِهِين,3,Noun,93.86551901
 فَتَىٰ,3,Noun,93.86956639
 فَتِيل,3,Noun,93.87361377
 فِتْيَة,3,Noun,93.87766115
 فُجَّار,3,Noun,93.88170853
 فِدْيَة,3,Noun,93.88575592
 فُرَات,3,Adjective,93.8898033
 فِرَٰش,3,Noun,93.89385068
 فَرْد,3,Noun,93.89789806
 فِسْق,3,Noun,93.90194544
 فِصَال,3,Noun,93.90599282
 فَوَٰكِه,3,Noun,93.9100402
 قَٰسِيَة,3,Noun,93.91408759
 قَٰصِرَٰت,3,Noun,93.91813497
 قَاهِر,3,Noun,93.92218235
 قُبُل,3,Noun,93.92622973
 قَدِيم,3,Adjective,93.93027711
 قُرْبَان,3,Noun,93.93432449
 قَرْح,3,Noun,93.93837187
 قِرَدَة,3,Noun,93.94241925
 قُرَّة,3,Noun,93.94646664
 قِسْمَة,3,Noun,93.95051402
 قِنطَار,3,Noun,93.9545614
 قَوَارِيرَا,3,Noun,93.95860878
 قَوَاعِد,3,Noun,93.96265616
 قَوَّٰمِين,3,Noun,93.96670354
 قَيُّوم,3,Adjective,93.97075092
 كَاشِف,3,Noun,93.97479831
 كَذَّاب,3,Adjective,93.97884569
 كُرْه,3,Noun,93.98289307
 كَظِيم,3,Noun,93.98694045
 كُفُور,3,Noun,93.99098783
 كَى,3,Negative particle,93.99503521
 كَيْف,3,Noun,93.99908259
